user_id,TM_DayTrip_Freq,tier_status,ADT,city,travel_time_mins,age_grp,TM_gaming_trip,TM_gaming_day,TM_gaming_day_weekday,TM_gaming_day_weekend,TM_hourplayed,TM_hourplayed_TG,TM_hourplayed_ETG,TM_hourplayed_SLOT,TM_twin,TM_twin_TG,TM_twin_ETG,TM_twin_SLOT,TM_avgbet,TM_avgbet_TG,TM_avgbet_ETG,TM_avgbet_SLOT,L12M_gaming_trip,L12M_gaming_day,L12M_gaming_day_weekday,L12M_gaming_day_Fri,L12M_gaming_day_Sat,L12M_gaming_day_Sun,L12M_hourplayed,L12M_hourplayed_TG,L12M_hourplayed_ETG,L12M_hourplayed_SLOT,L12M_twin,L12M_twin_TG,L12M_twin_ETG,L12M_twin_SLOT,L12M_avgbet,L12M_avgbet_TG,L12M_avgbet_ETG,L12M_avgbet_SLOT,L12M_roomnight,L24M_gaming_trip,L24M_gaming_day,L24M_gaming_day_weekday,L24M_gaming_day_Fri,L24M_gaming_day_Sat,L24M_gaming_day_Sun,L24M_hourplayed,L24M_hourplayed_TG,L24M_hourplayed_ETG,L24M_hourplayed_SLOT,L24M_twin,L24M_twin_TG,L24M_twin_ETG,L24M_twin_SLOT,L24M_avgbet,L24M_avgbet_TG,L24M_avgbet_ETG,L24M_avgbet_SLOT,L24M_room_night,trip_twin,trip_bet,trip_gaming_day,trip_hour_played,primary_game_at_first_stay,experiment_type,TM_ADT,adt_jump_L24_to_L12,adt_jump_L12_to_TM,eligible_for_host
A25662,3,Elite,64,Manila,0.0,41 - 50,1,3,2,1,4.622,0.739,3.883,0.0,2788,1782,1006,0,267,437,235,0,1,1,0,0,0,1,2,1,0,0,5227,2555,58,0,448,547,248,0,1,2,3,0,0,1,2,4.1,1.147,1.332,0.0,9190,4384,321,0,386,504,226,0,4,2785,262,3,4,SLOT,ETG_CROSS_SELL,929.3333333333334,False,True,False
A25674,6,Prime,202,Makati_BGC,75.6,31 - 40,5,8,5,3,10.459,9.48,0.068,0.0,26011,23557,15,0,1912,1909,408,0,2,2,1,0,1,0,2,2,0,0,4735,4735,0,0,1604,1604,0,0,0,13,13,9,1,1,2,13.193,13.193,0.0,0.0,25526,25526,0,0,1700,1700,0,0,5,5190,379,1,2,SLOT,ETG_CROSS_SELL,3251.375,False,True,False
A25706,1,Elite,129,Makati_BGC,46.2,41 - 50,1,1,0,1,0.522,0.0,0.0,0.522,1881,0,0,1881,44,0,0,44,1,1,1,0,0,0,1,0,0,1,787,0,0,787,27,0,0,27,2,1,1,1,0,0,0,0.516,0.0,0.0,0.516,787,0,0,787,27,0,0,27,3,1881,44,1,0,SLOT,ETG_CROSS_SELL,1881.0,True,False,False
A25757,1,Prime,23,QC,155.4,41 - 50,1,1,1,0,0.458,0.0,0.0,0.458,394,0,0,394,15,0,0,15,2,2,1,0,1,0,2,0,0,0,1346,267,87,452,120,547,146,29,1,4,5,2,1,1,1,2.698,0.536,0.391,1.024,2309,837,87,846,145,458,146,20,3,394,15,1,0,SLOT,ETG_CROSS_SELL,394.0,False,False,False
A25847,1,Prime,159,QC,333.6,Above 60,1,1,1,0,1.288,1.288,0.0,0.0,2324,2324,0,0,1094,1094,0,0,1,1,0,0,0,1,1,1,0,0,1069,1069,0,0,1094,1094,0,0,1,1,1,0,0,0,1,0.612,0.612,0.0,0.0,1069,1069,0,0,1094,1094,0,0,1,2318,1094,1,1,SLOT,ETG_CROSS_SELL,2324.0,True,True,True
A25898,2,Prime,134,Others,0.0,41 - 50,1,2,0,2,2.529,0.0,0.0,2.529,3917,0,0,3917,39,0,0,39,2,2,1,0,0,1,1,0,0,1,1895,0,0,1895,36,0,0,36,2,2,2,1,0,0,1,1.485,0.0,0.0,1.485,1895,0,0,1895,36,0,0,36,2,3907,29,2,2,SLOT,ETG_CROSS_SELL,1958.5,True,True,True
A25910,1,Elite,141,QC,187.8,31 - 40,1,1,0,1,2.892,0.771,0.099,0.094,6172,1911,15,131,375,437,190,58,1,1,1,0,0,0,1,0,0,0,278,0,58,81,161,0,175,64,0,2,2,2,0,0,0,1.336,0.0,0.28,0.734,1128,0,58,931,95,0,175,36,2,6167,365,1,2,SLOT,ETG_CROSS_SELL,6172.0,False,True,False
A25946,1,Prime,32,QC,155.4,41 - 50,1,1,0,1,0.87,0.201,0.0,0.234,1222,407,0,204,476,1003,0,22,2,2,0,1,1,0,3,1,0,0,4822,1739,0,87,866,1094,146,15,2,5,5,0,1,4,0,7.419,5.082,0.037,0.202,14526,11443,0,87,1181,1370,146,15,3,1210,467,1,0,SLOT,ETG_CROSS_SELL,1222.0,False,True,False
A26025,7,Elite,400,Pasay,154.8,51 - 60,3,7,4,3,29.342,21.902,0.83,1.17,50335,37865,277,2677,1011,1135,235,69,1,1,1,0,0,0,1,1,0,0,2959,2959,0,0,3128,3128,0,0,2,14,29,24,3,1,1,90.206,68.544,0.283,2.491,183170,146016,58,2222,1508,1582,266,29,16,16767,335,2,9,SLOT,ETG_CROSS_SELL,7190.714285714285,False,True,False
A26269,2,Prime,22,Pasay,246.0,51 - 60,1,2,0,2,0.632,0.596,0.0,0.036,867,837,0,30,1033,1094,0,29,2,2,2,0,0,0,1,0,0,0,1685,1569,0,116,1716,2187,0,23,0,2,2,2,0,0,0,0.578,0.452,0.0,0.126,1685,1569,0,116,1716,2187,0,23,4,860,1021,2,0,SLOT,ETG_CROSS_SELL,433.5,True,True,True
A26321,3,Elite,60,Manila,0.0,41 - 50,1,3,3,0,11.446,0.0,0.354,7.965,3750,0,15,2617,19,0,146,10,1,2,2,0,0,0,7,0,0,7,2814,0,0,2814,15,0,0,15,0,4,12,8,1,2,1,36.679,0.0,0.0,36.679,18652,0,0,18652,19,0,0,19,1,3747,15,3,11,SLOT,ETG_CROSS_SELL,1250.0,False,True,False
A26335,1,Prime,142,Pasay,224.4,51 - 60,1,1,0,1,1.644,0.0,0.0,1.644,2065,0,0,2065,20,0,0,20,1,2,2,0,0,0,1,0,0,1,1324,0,0,1324,26,0,0,26,0,7,11,6,2,2,1,6.868,0.0,0.0,6.868,7236,0,0,7236,25,0,0,25,3,2056,15,1,1,SLOT,ETG_CROSS_SELL,2065.0,False,True,False
A26411,1,Prime,9,QC,202.8,31 - 40,1,1,0,1,0.134,0.134,0.0,0.0,126,126,0,0,1094,1094,0,0,1,1,1,0,0,0,0,0,0,0,117,117,0,0,1094,1094,0,0,0,2,2,1,1,0,0,1.109,1.109,0.0,0.0,2168,2168,0,0,2052,2052,0,0,1,117,1094,1,0,SLOT,ETG_CROSS_SELL,126.0,False,True,False
A26469,1,Prime,37,Makati_BGC,67.8,31 - 40,1,1,1,0,0.22,0.22,0.0,0.0,535,535,0,0,437,437,0,0,1,1,1,0,0,0,0,0,0,0,778,778,0,0,437,437,0,0,0,2,2,2,0,0,0,0.32,0.32,0.0,0.0,930,930,0,0,437,437,0,0,1,525,437,1,0,SLOT,ETG_CROSS_SELL,535.0,True,True,True
A26501,2,Prime,139,QC,155.4,31 - 40,2,2,2,0,5.543,3.074,0.506,0.0,5948,3413,496,0,857,777,846,0,2,2,1,0,0,1,1,1,0,0,3216,3216,0,0,1307,1307,0,0,2,4,4,2,1,0,1,3.639,3.639,0.0,0.0,6578,6578,0,0,1412,1412,0,0,3,2960,423,1,2,SLOT,ETG_CROSS_SELL,2974.0,False,True,False
A26529,1,Elite,659,QC,155.4,51 - 60,1,1,1,0,9.698,0.0,0.218,4.631,19204,0,58,9544,59,0,335,46,1,1,1,0,0,0,4,0,0,4,8459,0,0,8459,56,0,0,56,1,1,1,1,0,0,0,3.909,0.0,0.0,3.909,8459,0,0,8459,56,0,0,56,1,19202,58,1,9,SLOT,ETG_CROSS_SELL,19204.0,True,True,True
A26623,2,Elite,86,Manila,0.0,51 - 60,1,2,1,1,2.881,0.663,0.0,1.204,5391,1197,0,2293,530,1094,0,49,2,2,0,1,0,1,5,2,0,1,11118,3661,0,2041,749,1094,0,98,4,3,3,0,1,0,2,6.181,2.987,0.0,0.943,14500,7043,0,2041,800,1033,0,98,4,5380,525,2,2,SLOT,ETG_CROSS_SELL,2695.5,True,True,True
A2665,1,Premium,38,Makati_BGC,57.6,Above 60,1,1,1,0,0.202,0.202,0.0,0.0,554,554,0,0,4374,4374,0,0,1,1,0,0,1,0,0,0,0,0,749,749,0,0,4374,4374,0,0,0,4,4,2,0,2,0,1.381,1.381,0.0,0.0,2741,2741,0,0,3217,3217,0,0,6,554,4374,1,0,SLOT,ETG_CROSS_SELL,554.0,False,False,False
A26651,1,Prime,74,Pasay,138.6,Above 60,1,1,1,0,0.836,0.836,0.0,0.0,1645,1645,0,0,1520,1520,0,0,2,2,2,0,0,0,1,1,0,0,1165,1165,0,0,1325,1325,0,0,0,4,4,4,0,0,0,1.042,1.042,0.0,0.0,2505,2505,0,0,1471,1471,0,0,2,1633,1516,1,0,SLOT,ETG_CROSS_SELL,1645.0,False,True,False
A26673,1,Prime,47,Makati_BGC,52.2,41 - 50,1,1,0,1,2.478,0.0,2.478,0.0,685,0,685,0,323,0,323,0,1,1,0,1,0,0,2,0,2,0,117,0,117,0,188,0,188,0,0,6,7,1,2,3,1,17.171,0.0,17.171,0.0,1764,0,1764,0,182,0,182,0,1,685,321,1,2,SLOT,ETG_CROSS_SELL,685.0,False,False,False
A26756,1,Elite,41,Manila,0.0,Above 60,1,1,1,0,1.359,0.0,0.0,1.359,928,0,0,928,21,0,0,21,2,2,1,0,1,0,1,0,0,1,995,0,0,995,32,0,0,32,1,6,7,2,1,4,0,8.884,0.0,0.0,8.884,6108,0,0,6108,20,0,0,20,1,919,15,1,1,SLOT,ETG_CROSS_SELL,928.0,False,True,False
A26775,1,Elite,31,Pasay,297.0,41 - 50,1,1,0,1,0.26,0.0,0.0,0.26,452,0,0,452,52,0,0,52,1,1,0,0,0,1,1,0,0,0,4686,0,1750,593,1617,0,2829,48,0,5,11,7,1,0,3,31.257,2.019,1.764,15.524,73006,7706,6124,26963,727,2659,2573,31,1,437,44,1,0,SLOT,ETG_CROSS_SELL,452.0,False,True,False
A26780,1,Prime,138,Pasay,195.6,41 - 50,1,1,0,1,3.606,0.0,0.0,3.606,3834,0,0,3834,26,0,0,26,2,2,0,1,1,0,3,0,0,3,910,0,0,910,7,0,0,7,1,5,6,1,3,2,0,9.959,0.13,0.0,9.829,4895,609,0,4285,18,547,0,11,1,3820,15,1,3,SLOT,ETG_CROSS_SELL,3834.0,False,True,False
A26817,1,Prime,495,Pasay,131.4,31 - 40,1,1,0,1,3.328,0.0,1.239,0.425,10202,0,3674,1427,2035,0,2712,63,2,2,1,1,0,0,8,0,2,2,27887,0,5365,8578,1307,0,2378,83,3,2,2,1,1,0,0,8.484,0.0,2.261,1.981,27887,0,5365,8578,1307,0,2378,83,3,10191,2027,1,3,SLOT,ETG_CROSS_SELL,10202.0,True,True,True
A26823,1,Elite,18,Pasay,154.8,31 - 40,1,1,1,0,0.578,0.0,0.578,0.0,262,0,262,0,394,0,394,0,1,1,1,0,0,0,0,0,0,0,175,0,175,0,277,0,277,0,0,2,2,2,0,0,0,1.093,0.0,1.093,0.0,365,0,365,0,292,0,292,0,1,262,394,1,0,SLOT,ETG_CROSS_SELL,262.0,False,False,False
A2688,3,Elite,131,Makati_BGC,46.2,41 - 50,1,3,1,2,5.413,2.191,0.0,0.801,10836,4769,0,962,1860,2292,0,23,2,2,0,0,1,1,4,3,0,0,3948,3308,58,0,1086,1178,394,0,0,8,8,4,0,2,2,11.404,5.151,2.332,0.871,13854,6376,2726,991,1145,1375,1198,19,1,10833,1852,3,5,SLOT,ETG_CROSS_SELL,3612.0,False,True,False
A27059,2,Prime,55,Pasay,224.4,41 - 50,1,2,1,1,0.364,0.0,0.0,0.364,956,0,0,956,64,0,0,64,2,2,0,1,1,0,2,0,0,2,3070,0,0,3070,41,0,0,41,0,4,4,0,1,2,1,5.242,0.0,0.0,5.242,5322,0,0,5322,31,0,0,31,2,948,58,2,0,SLOT,ETG_CROSS_SELL,478.0,False,True,False
A27094,1,Prime,174,Pasay,116.4,Above 60,1,1,0,1,3.991,0.0,0.0,3.991,2531,0,0,2531,22,0,0,22,1,2,2,0,0,0,7,0,0,7,5400,0,0,5400,21,0,0,21,1,3,4,2,0,0,2,15.865,0.0,0.0,15.865,11686,0,0,11686,21,0,0,21,1,2522,15,1,3,SLOT,ETG_CROSS_SELL,2531.0,False,True,False
A27134,2,Elite,122,Pasay,297.0,Above 60,1,2,2,0,9.768,0.277,3.239,0.487,9281,636,2406,515,584,419,667,39,1,2,2,0,0,0,3,0,1,1,1682,0,496,659,373,0,507,18,0,4,10,9,1,0,0,28.866,0.729,4.909,10.237,18451,1410,2931,5509,223,437,532,16,2,9273,583,2,9,SLOT,ETG_CROSS_SELL,4640.5,False,True,False
A27139,1,Elite,847,QC,155.4,41 - 50,1,1,0,1,3.166,0.0,0.0,3.166,13280,0,0,13280,55,0,0,55,2,2,0,0,0,2,6,0,0,3,29935,0,2318,16209,857,0,6327,71,0,5,6,2,0,1,3,17.203,0.0,0.71,12.161,87943,0,4636,59414,624,0,6736,72,1,13268,44,1,3,SLOT,ETG_CROSS_SELL,13280.0,False,True,False
A27353,2,Elite,197,Pasay,224.4,31 - 40,1,2,1,1,3.237,0.0,0.0,3.237,5759,0,0,5759,33,0,0,33,1,2,1,1,0,0,3,0,0,3,3764,0,0,3764,32,0,0,32,0,2,4,3,1,0,0,8.274,0.0,0.115,6.292,16152,0,73,11777,44,0,408,33,1,5745,29,2,3,SLOT,ETG_CROSS_SELL,2879.5,False,True,False
A27362,1,Premium,60,Makati_BGC,41.4,51 - 60,1,1,1,0,0.123,0.123,0.0,0.0,160,160,0,0,2187,2187,0,0,2,2,1,0,1,0,1,1,0,0,1747,1747,0,0,3231,3231,0,0,0,4,4,1,0,2,1,2.72,2.72,0.0,0.0,4967,4967,0,0,3469,3469,0,0,2,160,2187,1,0,SLOT,ETG_CROSS_SELL,160.0,False,False,False
A27449,1,Prime,37,Makati_BGC,57.6,31 - 40,1,1,0,1,0.778,0.0,0.0,0.778,541,0,0,541,24,0,0,24,1,1,0,0,1,0,3,0,0,3,3429,0,0,3429,24,0,0,24,0,4,5,1,0,2,2,17.476,0.0,4.079,6.351,28559,0,6576,9537,429,0,872,36,3,539,15,1,0,SLOT,ETG_CROSS_SELL,541.0,False,True,False
A27500,1,Prime,143,Pasay,282.6,31 - 40,1,1,1,0,0.765,0.0,0.0,0.765,1830,0,0,1830,53,0,0,53,2,2,2,0,0,0,7,0,2,1,13303,0,2245,4406,766,0,1113,66,2,2,2,2,0,0,0,6.73,0.0,2.249,1.116,13303,0,2245,4406,766,0,1113,66,2,1823,44,1,0,SLOT,ETG_CROSS_SELL,1830.0,True,True,True
A27800,6,Elite,487,Makati_BGC,57.6,31 - 40,3,6,1,5,22.801,22.677,0.124,0.0,42596,42508,87,0,2521,2530,802,0,1,2,0,0,1,1,8,8,0,0,20146,20146,0,0,2770,2770,0,0,2,3,6,4,0,1,1,28.115,28.115,0.0,0.0,53967,53967,0,0,2851,2851,0,0,2,14186,831,2,7,SLOT,ETG_CROSS_SELL,7099.333333333333,False,True,False
A27916,1,Premium,205,Makati_BGC,57.6,31 - 40,1,1,1,0,0.954,0.0,0.954,0.0,4170,0,4170,0,3766,0,3766,0,2,2,2,0,0,0,3,0,3,0,6998,0,6998,0,2485,0,2485,0,0,8,8,4,2,2,0,9.211,0.0,6.508,0.665,17933,0,12568,1210,1635,0,1879,22,1,4170,3762,1,0,SLOT,ETG_CROSS_SELL,4170.0,False,False,False
A27926,2,Prime,170,QC,133.8,51 - 60,1,2,2,0,5.156,5.156,0.0,0.0,4944,4944,0,0,1094,1094,0,0,1,1,1,0,0,0,1,1,0,0,962,962,0,0,1094,1094,0,0,0,7,8,4,4,0,0,5.51,4.405,0.0,1.105,5980,5076,0,904,1141,1422,0,22,3,4943,1094,2,5,SLOT,ETG_CROSS_SELL,2472.0,False,True,False
A27931,1,Elite,423,Makati_BGC,81.6,31 - 40,1,1,0,1,1.516,0.0,1.516,0.0,8311,0,8311,0,5572,0,5572,0,2,2,0,0,0,2,3,0,3,0,7713,0,7713,0,2287,0,2287,0,0,8,8,0,1,2,5,9.812,0.0,9.812,0.0,52619,0,52619,0,3803,0,3803,0,2,8311,5570,1,1,SLOT,ETG_CROSS_SELL,8311.0,False,False,False
A27934,1,Prime,38,Pasay,297.0,41 - 50,1,2,2,0,2.618,0.0,2.591,0.027,1094,0,1079,15,391,0,394,117,1,2,2,0,0,0,2,0,2,0,1283,0,1283,0,802,0,802,0,0,2,4,4,0,0,0,13.344,0.0,7.701,0.175,34409,0,17831,146,2447,0,2214,99,2,1094,379,2,2,SLOT,ETG_CROSS_SELL,547.0,False,False,False
A27942,1,Elite,206,Makati_BGC,51.0,31 - 40,1,1,0,1,0.58,0.0,0.58,0.0,437,0,437,0,550,0,550,0,2,2,0,0,1,1,4,0,4,0,7917,0,7917,0,880,0,880,0,0,5,8,2,1,2,3,24.924,0.0,24.924,0.0,69736,0,69736,0,1505,0,1505,0,1,437,539,1,0,SLOT,ETG_CROSS_SELL,437.0,False,False,False
A2795,1,Elite,43,Makati_BGC,57.6,Above 60,1,1,1,0,0.114,0.0,0.0,0.114,190,0,0,190,29,0,0,29,2,2,2,0,0,0,4,1,0,1,3593,916,44,510,176,219,204,28,0,10,10,10,0,0,0,12.646,1.94,0.98,3.836,10481,2195,408,2756,462,1225,343,27,2,190,29,1,0,SLOT,ETG_CROSS_SELL,190.0,False,False,False
A28111,2,Elite,72,Pasay,195.6,31 - 40,1,2,1,1,2.379,0.0,0.0,2.379,2101,0,0,2101,17,0,0,17,1,1,0,0,1,0,0,0,0,0,437,0,0,437,44,0,0,44,1,4,5,1,1,3,0,7.432,0.0,0.0,7.432,6555,0,0,6555,18,0,0,18,1,2100,15,2,2,SLOT,ETG_CROSS_SELL,1050.5,False,True,False
A28149,1,Prime,36,Pasay,276.6,Above 60,1,1,1,0,1.263,0.0,0.0,1.263,529,0,0,529,4,0,0,4,1,1,0,0,1,0,0,0,0,0,112,0,0,112,18,0,0,18,0,6,9,2,3,2,2,7.293,2.442,0.0,1.969,6033,2812,0,827,197,331,0,17,3,525,0,1,1,SLOT,ETG_CROSS_SELL,529.0,False,True,False
A28222,1,Elite,147,QC,155.4,Above 60,1,1,1,0,1.667,0.0,0.0,1.667,2143,0,0,2143,34,0,0,34,1,1,1,0,0,0,3,0,0,3,4709,0,0,4709,33,0,0,33,0,15,22,20,2,0,0,55.572,0.0,0.0,55.572,77884,0,0,77884,34,0,0,34,1,2143,29,1,1,SLOT,ETG_CROSS_SELL,2143.0,False,False,False
A28225,1,Elite,333,QC,155.4,Above 60,1,1,1,0,2.917,0.0,0.0,2.917,4855,0,0,4855,37,0,0,37,1,1,1,0,0,0,2,0,0,2,3645,0,0,3645,33,0,0,33,0,16,23,21,2,0,0,65.881,0.0,0.0,65.881,92322,0,0,92322,33,0,0,33,7,4855,29,1,2,SLOT,ETG_CROSS_SELL,4855.0,False,False,False
A28250,1,Elite,279,QC,133.8,Above 60,1,1,0,1,1.683,1.683,0.0,0.0,3155,3155,0,0,437,437,0,0,2,2,0,0,0,2,4,4,0,0,6707,6707,0,0,387,387,0,0,1,4,6,3,0,0,3,18.895,16.255,0.429,0.0,29764,26675,277,0,431,424,542,0,1,3149,437,1,1,SLOT,ETG_CROSS_SELL,3155.0,False,True,False
A28282,1,Prime,162,Mandaluyong_Pasig,182.4,31 - 40,1,1,1,0,2.799,0.0,2.799,0.0,3353,0,3353,0,692,0,692,0,2,2,0,2,0,0,3,0,3,0,3426,0,3426,0,478,0,478,0,0,2,3,1,2,0,0,7.139,0.0,7.139,0.0,7582,0,7582,0,502,0,502,0,2,3353,685,1,2,SLOT,ETG_CROSS_SELL,3353.0,False,False,False
A28298,1,Prime,202,Pasay,297.0,31 - 40,1,2,0,2,16.413,2.38,3.253,0.084,17439,2803,3062,236,653,547,738,64,2,2,1,1,0,0,5,0,2,1,10494,875,2726,3009,885,1094,1298,84,1,3,4,2,2,0,0,6.462,0.363,3.773,0.854,14063,875,4374,3824,1021,1094,1400,90,1,17438,642,2,16,SLOT,ETG_CROSS_SELL,8719.5,True,True,True
A28303,2,Prime,99,QC,273.6,51 - 60,1,2,2,0,5.266,0.0,3.643,0.067,3940,0,2799,96,728,0,766,63,1,2,2,0,0,0,4,0,3,0,4257,0,2916,437,577,0,739,29,1,2,4,4,0,0,0,7.238,0.0,4.003,0.524,8048,0,4622,627,778,0,890,30,1,3937,714,2,5,SLOT,ETG_CROSS_SELL,1970.0,False,True,False
A28343,1,Elite,149,Pasay,136.8,31 - 40,1,1,0,1,0.801,0.801,0.0,0.0,2573,2573,0,0,3581,3581,0,0,2,2,0,1,1,0,1,1,0,0,1620,1620,0,0,1335,1335,0,0,1,3,3,0,2,1,0,1.882,1.882,0.0,0.0,3632,3632,0,0,2217,2217,0,0,1,2566,3572,1,0,SLOT,ETG_CROSS_SELL,2573.0,False,True,False
A28352,3,Elite,5,Manila,0.0,Above 60,1,3,3,0,0.376,0.0,0.376,0.0,204,0,204,0,511,0,511,0,1,1,1,0,0,0,1,0,0,1,1491,0,0,1491,28,0,0,28,0,4,7,7,0,0,0,4.518,1.006,0.0,2.315,9235,3429,0,2765,286,645,0,34,6,204,510,3,0,SLOT,ETG_CROSS_SELL,68.0,False,False,False
A28580,1,Prime,97,Pasay,224.4,41 - 50,1,1,1,0,4.274,0.0,1.739,0.398,2817,0,1035,374,383,0,467,17,1,2,2,0,0,0,3,0,0,1,3594,615,117,593,226,437,335,25,0,3,5,4,0,0,1,11.978,0.317,8.989,0.65,9120,615,5642,593,390,437,448,25,3,2814,379,1,4,SLOT,ETG_CROSS_SELL,2817.0,False,True,False
A28581,1,Elite,61,QC,84.0,51 - 60,1,1,1,0,0.371,0.371,0.0,0.0,891,891,0,0,437,437,0,0,2,2,2,0,0,0,1,0,1,0,1280,901,379,0,571,437,642,0,1,2,2,2,0,0,0,1.238,0.429,0.809,0.0,1280,901,379,0,571,437,642,0,4,889,437,1,0,SLOT,ETG_CROSS_SELL,891.0,True,True,True
A28687,1,Prime,12,Pasay,246.0,Above 60,1,1,1,0,0.014,0.014,0.0,0.0,29,29,0,0,1094,1094,0,0,2,2,2,0,0,0,1,0,0,1,1175,0,0,1175,34,0,0,34,5,5,5,3,0,1,1,1.613,0.0,0.0,1.613,1415,0,0,1415,31,0,0,31,7,15,1094,1,0,SLOT,ETG_CROSS_SELL,29.0,True,True,True
A28814,1,Elite,234,QC,155.4,51 - 60,1,1,1,0,2.692,0.0,0.0,2.692,3414,0,0,3414,24,0,0,24,1,2,0,1,1,0,8,0,0,4,13085,0,0,6666,37,0,15,36,0,3,5,2,2,1,0,23.273,0.0,0.027,19.569,38311,0,0,31893,34,0,15,33,1,3412,15,1,2,SLOT,ETG_CROSS_SELL,3414.0,False,True,False
A28892,1,Elite,8,Manila,0.0,31 - 40,1,1,1,0,1.062,0.0,0.488,0.043,233,0,58,58,159,0,160,146,1,1,1,0,0,0,1,0,1,0,73,0,73,0,157,0,157,0,0,3,4,3,1,0,0,1.904,0.0,1.904,0.0,321,0,321,0,203,0,203,0,1,233,146,1,1,SLOT,ETG_CROSS_SELL,233.0,False,False,False
A29172,1,Prime,35,Pasay,307.8,51 - 60,1,1,0,1,1.0,0.0,0.269,0.231,1028,0,73,441,192,0,306,60,1,1,0,0,1,0,1,0,1,0,262,0,262,0,306,0,306,0,0,5,10,3,2,4,1,9.459,0.0,7.926,0.639,3761,0,2435,731,224,0,243,38,2,1021,190,1,1,SLOT,ETG_CROSS_SELL,1028.0,False,True,False
A29232,2,Elite,49,QC,262.8,31 - 40,1,2,2,0,1.932,0.663,0.0,0.303,2837,879,0,539,762,1094,0,37,1,1,0,0,1,0,2,0,0,2,7336,0,0,7336,73,0,0,73,2,8,10,4,1,4,1,14.921,0.55,0.692,8.813,38830,1627,2260,23613,526,505,3208,52,8,2829,758,2,1,SLOT,ETG_CROSS_SELL,1418.5,False,True,False
A29266,1,Elite,339,QC,202.8,41 - 50,1,1,0,1,3.375,3.375,0.0,0.0,6411,6411,0,0,437,437,0,0,2,2,1,0,0,1,7,7,0,0,11971,11971,0,0,437,437,0,0,5,3,3,1,0,1,1,7.113,7.113,0.0,0.0,12519,12519,0,0,437,437,0,0,10,6401,437,1,3,SLOT,ETG_CROSS_SELL,6411.0,True,True,True
A29456,1,Prime,55,Mandaluyong_Pasig,182.4,41 - 50,1,1,1,0,0.435,0.435,0.0,0.0,789,789,0,0,894,894,0,0,2,2,1,0,1,0,1,1,0,0,3024,3024,0,0,437,437,0,0,0,3,3,2,0,1,0,1.531,1.531,0.0,0.0,3569,3569,0,0,622,622,0,0,2,787,889,1,0,SLOT,ETG_CROSS_SELL,789.0,True,True,True
A29463,1,Elite,1,QC,187.8,51 - 60,1,1,0,1,0.035,0.0,0.035,0.0,15,0,15,0,365,0,365,0,2,2,1,0,0,1,3,3,0,0,5908,5908,0,0,1094,1094,0,0,1,15,16,1,0,1,14,22.318,22.318,0.0,0.0,43424,43424,0,0,1320,1320,0,0,16,15,365,1,0,SLOT,ETG_CROSS_SELL,15.0,False,False,False
A29600,1,Maharlika,893,Makati_BGC,57.6,41 - 50,1,1,0,1,5.484,0.0,0.0,5.484,25136,0,0,25136,128,0,0,128,2,2,1,0,1,0,1,0,0,1,1329,0,0,1329,42,0,0,42,0,4,4,1,0,1,2,3.365,0.0,0.0,3.365,12176,0,0,12176,116,0,0,116,1,25136,117,1,5,SLOT,ETG_CROSS_SELL,25136.0,False,False,False
A29650,1,Elite,170,Pasay,154.8,31 - 40,1,1,1,0,0.526,0.0,0.526,0.0,3149,0,3149,0,5695,0,5695,0,2,2,0,1,1,0,5,1,1,0,17361,3140,5540,0,2953,1405,4515,0,0,5,6,0,2,3,1,21.999,5.228,9.602,0.0,107086,8432,68934,0,4776,863,7616,0,1,3149,5686,1,0,SLOT,ETG_CROSS_SELL,3149.0,False,False,False
A29757,1,Prime,88,QC,155.4,51 - 60,1,3,3,0,2.818,0.0,0.0,2.818,3860,0,0,3860,30,0,0,30,1,2,1,0,0,1,3,0,0,3,5886,0,0,5886,32,0,0,32,0,4,8,7,0,0,1,9.09,0.0,0.0,9.09,18168,0,0,18168,35,0,0,35,5,3849,29,3,2,SLOT,ETG_CROSS_SELL,1286.6666666666667,False,True,False
A29912,1,Prime,0,Makati_BGC,75.6,21 - 30,1,1,1,0,0.023,0.0,0.0,0.023,2,0,0,2,18,0,0,18,2,2,0,0,1,1,0,0,0,0,256,254,0,2,505,547,0,22,0,6,6,1,0,3,2,0.851,0.221,0.285,0.156,1000,254,190,264,404,547,673,41,1,0,15,1,0,SLOT,ETG_CROSS_SELL,2.0,False,True,False
A29942,2,Prime,107,Makati_BGC,50.4,31 - 40,2,2,1,1,2.224,0.0,0.005,1.107,6240,0,0,3120,49,0,15,49,1,1,0,0,1,0,1,0,0,0,962,0,0,481,35,0,292,15,2,3,3,0,1,2,0,1.978,0.0,0.2,0.794,2624,0,160,1152,179,0,816,18,2,3120,15,1,1,SLOT,ETG_CROSS_SELL,3120.0,False,False,False
A3017,1,Supreme,2438,Others,0.0,51 - 60,2,2,1,1,6.874,6.874,0.0,0.0,28037,28037,0,0,6226,6226,0,0,1,1,1,0,0,0,2,2,0,0,22571,22571,0,0,7613,7613,0,0,11,3,5,2,2,1,0,10.029,10.029,0.0,0.0,57979,57979,0,0,4415,4415,0,0,16,14011,3106,1,3,SLOT,ETG_CROSS_SELL,14018.5,False,True,False
